ID,Name,Industry,Country,Currency,Joined On,Is Custom Billed,Is Active,Is Verified,Has Set Config,Has Added Team
118,Seamfix,Technology,Nigeria,Ngn,09/01/2026,FALSE,TRUE,TRUE,FALSE,FALSE
117,Downtown,Construction,Belgium,Usd,08/01/2026,FALSE,TRUE,TRUE,FALSE,FALSE
116,Autos,Finance,Nigeria,Ngn,01/01/2026,FALSE,TRUE,TRUE,FALSE,FALSE
113,Futurekings,Technology,Uganda,Usd,23/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
112,Quikerpay,Finance,Cameroon,Usd,21/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
111,Sternpay Inc,Finance,Nigeria,Ngn,18/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
110,Patatix,Technology,Kenya,Usd,15/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
109,Learnkasts,Technology,Nigeria,Ngn,15/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
108,Zendwa Technologies Limited ,Technology,Nigeria,Ngn,13/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
107,Fixbot,Technology,Nigeria,Ngn,11/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
106,Stashorra ,Retail,Nigeria,Ngn,04/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
105,Sell It Off,Technology,Nigeria,Ngn,04/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
104,Tamar Confectionary ,Other,Nigeria,Ngn,03/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
103,Chocolate Shisha Store Ng,Retail,Nigeria,Ngn,03/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
102,Quickerpay,Finance,Cameroon,Usd,02/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
101,Welsh ,Finance,Nigeria,Ngn,01/12/2025,FALSE,TRUE,TRUE,FALSE,FALSE
100,Itechcliq,Agriculture,Nigeria,Ngn,21/11/2025,FALSE,TRUE,TRUE,FALSE,FALSE
88,Shukran,Other,Kenya,Usd,12/11/2025,FALSE,TRUE,TRUE,FALSE,FALSE
87,Qorepay Technology Solutrions,Finance,Nigeria,Ngn,11/11/2025,FALSE,TRUE,TRUE,FALSE,FALSE
86,Coripay,Finance,Nigeria,Ngn,08/11/2025,FALSE,TRUE,TRUE,FALSE,FALSE
85,Dunefee,Finance,United Kingdom,Usd,08/11/2025,FALSE,TRUE,TRUE,FALSE,FALSE
83,Go2345679E,Education,United States,Usd,05/11/2025,FALSE,TRUE,FALSE,FALSE,FALSE
80,Google,Education,United States,Usd,05/11/2025,FALSE,TRUE,FALSE,FALSE,FALSE
79,Midddleman,Finance,Nigeria,Ngn,27/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
77,Vtulab,Finance,Nigeria,Ngn,20/10/2025,FALSE,TRUE,FALSE,FALSE,FALSE
76,Kuda Business,Finance,Nigeria,Ngn,15/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
75,Perks Page,Finance,Nigeria,Ngn,14/10/2025,FALSE,TRUE,FALSE,FALSE,FALSE
74,Godere Innovations ,Technology,Nigeria,Ngn,13/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
73,Victor,Other,Nigeria,Ngn,12/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
72,Rad5 Tech Hub,Agriculture,Nigeria,Ngn,10/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
70,Meritinfos,Technology,Nigeria,Ngn,08/10/2025,FALSE,TRUE,FALSE,FALSE,FALSE
69,Test Plc,Education,Nigeria,Ngn,08/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
68,Optimized Agent,Technology,United States,Usd,07/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
66,Prembly Us,Technology,United States,Usd,07/10/2025,FALSE,TRUE,FALSE,FALSE,FALSE
65,Test Inc,Healthcare,Nigeria,Ngn,04/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
64,Test Company,Finance,Nigeria,Ngn,04/10/2025,FALSE,TRUE,TRUE,FALSE,FALSE
63,Quantum Online Bank,Finance,Nigeria,Ngn,17/09/2025,FALSE,TRUE,TRUE,FALSE,FALSE
62,Paypetal ,Finance,Nigeria,Ngn,09/09/2025,FALSE,TRUE,TRUE,FALSE,FALSE
61,Ayoreign,Technology,United Kingdom,Usd,05/09/2025,FALSE,TRUE,TRUE,FALSE,FALSE
60,Agbaletu Radio Vision,Other,Nigeria,Ngn,04/09/2025,FALSE,TRUE,TRUE,FALSE,FALSE
59,Don Limited,Agriculture,Afghanistan,Usd,02/09/2025,FALSE,TRUE,TRUE,FALSE,FALSE
58,Driftview Inc,Technology,United States,Usd,26/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
57,Kevin-Test,Technology,Nigeria,Ngn,26/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
56,Cuoral Test,Technology,United States,Usd,23/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
55,Sotaops Technology Services Ltd,Technology,Nigeria,Ngn,15/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
54,Pillar Mfb,Finance,Nigeria,Ngn,11/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
53,3Mtt Nigeria,Education,Nigeria,Ngn,11/08/2025,TRUE,TRUE,TRUE,FALSE,FALSE
52,Hardwarefirmware.Live,Technology,Nigeria,Ngn,07/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
51,Migrationfarm.Cloud,Other,Nigeria,Ngn,07/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
50,Coical,Other,Nigeria,Ngn,05/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
49,Techmhc Solutions,Technology,Nigeria,Ngn,05/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
48,Sddad,Finance,Nigeria,Ngn,04/08/2025,FALSE,TRUE,FALSE,FALSE,FALSE
47,Test Account,Transportation,Nigeria,Ngn,04/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
46,Chrisbeedeekay Edibles,Other,Nigeria,Ngn,04/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
45,Cuoral Test,Healthcare,Nigeria,Ngn,03/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
44,Mail247,Technology,Nigeria,Ngn,01/08/2025,FALSE,TRUE,TRUE,FALSE,FALSE
43,Cuoral Us,Technology,United States,Usd,22/07/2025,FALSE,TRUE,TRUE,FALSE,FALSE
42,North And Found ,Technology,Nigeria,Ngn,22/07/2025,FALSE,TRUE,TRUE,FALSE,FALSE
41,Gidinest,Finance,Nigeria,Ngn,17/07/2025,FALSE,TRUE,TRUE,FALSE,FALSE
40,Toniceli ,Technology,Nigeria,Ngn,09/07/2025,FALSE,TRUE,TRUE,FALSE,FALSE
39,Technica It And Web Solutions,Technology,Nigeria,Ngn,05/07/2025,FALSE,TRUE,TRUE,FALSE,FALSE
38,University Of Lagos,Education,Nigeria,Ngn,03/07/2025,FALSE,TRUE,TRUE,FALSE,FALSE
37,Prembly Inc,Technology,Nigeria,Ngn,02/07/2025,TRUE,TRUE,TRUE,FALSE,FALSE
36,Marketmouse,Other,Nigeria,Ngn,30/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
35,Democrm,Other,Nigeria,Ngn,25/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
34,Cashbuddy ,Finance,Nigeria,Ngn,23/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
33,Gigrity Ltd,Other,Nigeria,Ngn,21/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
32,Rach Finance,Finance,Nigeria,Ngn,20/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
31,Elegent Driving Academy,Finance,United Kingdom,Usd,17/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
30,Havlona,Finance,Nigeria,Ngn,15/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
29,Supplya,Finance,Nigeria,Ngn,14/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
28,Maslinar,Utilities,Nigeria,Ngn,13/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
27,Annur Ventures Minjibir ,Technology,Nigeria,Ngn,04/06/2025,FALSE,TRUE,TRUE,FALSE,FALSE
26,Falconpay Limited,Finance,Nigeria,Ngn,31/05/2025,TRUE,TRUE,TRUE,FALSE,FALSE
25,Plant Your Seed,Healthcare,Nigeria,Ngn,26/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
24,Metronet Broadband Networks Ltd,Technology,Nigeria,Ngn,26/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
23,Faruq Inc,Technology,Nigeria,Ngn,14/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
22,Iproject Writers ,Education,Nigeria,Ngn,13/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
21,Payrit,Finance,Nigeria,Ngn,12/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
20,Banqops,Technology,Nigeria,Ngn,12/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
19,Free,Education,Nigeria,Ngn,09/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
18,Bluetickgeng Development,Finance,Nigeria,Ngn,05/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
16,Pruvly,Technology,Nigeria,Ngn,04/05/2025,FALSE,TRUE,TRUE,FALSE,FALSE
14,Fishery Companyq,Finance,Nigeria,Ngn,19/04/2025,FALSE,TRUE,TRUE,FALSE,FALSE
13,Clars Inc.,Construction,Nigeria,Ngn,18/04/2025,FALSE,TRUE,TRUE,FALSE,FALSE
12,Pholsan Ventures,Technology,Nigeria,Ngn,17/04/2025,FALSE,TRUE,TRUE,FALSE,FALSE
10,Test Company 2,Manufacturing,Nigeria,Ngn,12/04/2025,FALSE,FALSE,FALSE,FALSE,FALSE
9,Cuoral,Finance,Nigeria,Ngn,12/04/2025,FALSE,TRUE,TRUE,FALSE,FALSE
8,Opeyemi Company,string,String,Usd,12/04/2025,FALSE,TRUE,TRUE,FALSE,FALSE
